General : Method name,General : Method saved date,General : Sample File Name,Sample text inputs : Polymer batch,Sample choice input : Sample choice input  1,Sample choice input : Sample choice input  2,Sample notes : Sample Description,Precycling : Cycles,Precycling : Rate,Test : Rate 1
,,,,,,,,(%/s),(%/s)
"C:\Users\Public\Documents\Instron\Bluehill Universal\Output\Warrick\WM Uniaxial Tensile.im_tens","7/14/2020 4:29 PM","C:\Users\Public\Documents\Instron\Bluehill Universal\Output\Warrick\wm 2-104-2_20211118_141249.is_tens","wm 2-104-2","<None>","<None>","","10","5.00","3.00"

Results Table 1
,Sample Type,Specimen ID,Specimen Thickness,Length,Thickness,Width,Modulus (Automatic Young's)
,,,,(mm),(mm),(mm),(MPa)
2,"<None>","2","<None>","16.02","0.90","1.53","8.00"

Time,Displacement,Force
(s),(mm),(mN)
"0.00000","0.00000","-1.0173"
"0.020000","0.00000","-1.6709"
"0.040000","0.000038870","-0.80035"
"0.060000","0.0011595","5.0748"
"0.080000","0.0071371","16.237"
"0.10000","0.013490","27.582"
"0.12000","0.022921","49.109"
"0.14000","0.040983","81.777"
"0.16000","0.063277","113.78"
"0.18000","0.083767","136.23"
"0.20000","0.10129","153.41"
"0.22000","0.11761","170.26"
"0.24000","0.13399","186.50"
"0.26000","0.15011","201.86"
"0.28000","0.16595","216.80"
"0.30000","0.18206","232.16"
"0.32000","0.19833","247.89"
"0.34000","0.21463","262.47"
"0.36000","0.23081","276.60"
"0.38000","0.24699","291.44"
"0.40000","0.26303","304.43"
"0.42000","0.27907","317.84"
"0.44000","0.29532","331.41"
"0.46000","0.31144","343.31"
"0.48000","0.32728","355.87"
"0.50000","0.34332","368.31"
"0.52000","0.35944","380.41"
"0.54000","0.37555","392.48"
"0.56000","0.39167","403.56"
"0.58000","0.40779","414.96"
"0.60000","0.42357","425.69"
"0.62000","0.43923","435.65"
"0.64000","0.45512","447.19"
"0.66000","0.47111","457.23"
"0.68000","0.48674","466.58"
"0.70000","0.50236","477.56"
"0.72000","0.51867","487.82"
"0.74000","0.53508","498.25"
"0.76000","0.55121","508.19"
"0.78000","0.56736","517.36"
"0.80000","0.58347","527.39"
"0.82000","0.59953","536.41"
"0.84000","0.61564","545.56"
"0.86000","0.63179","555.70"
"0.88000","0.64782","563.62"
"0.90000","0.66380","572.78"
"0.92000","0.68000","581.77"
"0.94000","0.69616","589.61"
"0.96000","0.71228","598.96"
"0.98000","0.72814","606.52"
"1.0000","0.74394","614.30"
"1.0200","0.75953","623.37"
"1.0400","0.77528","630.62"
"1.0600","0.79137","638.87"
"1.0800","0.80726","647.35"
"1.1000","0.82316","655.10"
"1.1200","0.83936","664.67"
"1.1400","0.85562","672.56"
"1.1600","0.87183","680.78"
"1.1800","0.88807","689.76"
"1.2000","0.90429","696.90"
"1.2200","0.92027","705.23"
"1.2400","0.93618","713.50"
"1.2600","0.95232","720.98"
"1.2800","0.96839","729.75"
"1.3000","0.98428","736.49"
"1.3200","0.99978","743.50"
"1.3400","1.0153","752.15"
"1.3600","1.0314","759.72"
"1.3800","1.0476","767.99"
"1.4000","1.0637","775.73"
"1.4200","1.0795","782.78"
"1.4400","1.0953","790.88"
"1.4600","1.1115","798.95"
"1.4800","1.1278","806.80"
"1.5000","1.1439","814.73"
"1.5200","1.1601","822.41"
