General : Method name,General : Method saved date,General : Sample File Name,Sample text inputs : Polymer batch,Sample choice input : Sample choice input  1,Sample choice input : Sample choice input  2,Sample notes : Sample Description,Precycling : Cycles,Precycling : Rate,Test : Rate 1
,,,,,,,,(%/s),(%/s)
"C:\Users\Public\Documents\Instron\Bluehill Universal\Output\Warrick\WM Uniaxial Tensile.im_tens","7/14/2020 4:29 PM","C:\Users\Public\Documents\Instron\Bluehill Universal\Output\Warrick\wm 2-104-2_20211118_141249.is_tens","wm 2-104-2","<None>","<None>","","10","5.00","3.00"

Results Table 1
,Sample Type,Specimen ID,Specimen Thickness,Length,Thickness,Width,Modulus (Automatic Young's)
,,,,(mm),(mm),(mm),(MPa)
4,"<None>","4","<None>","11.87","0.95","1.55","7.41"

Time,Displacement,Force
(s),(mm),(mN)
"0.00000","0.00000","-1.2606"
"0.020000","0.00000","-0.86239"
"0.040000","0.00000","-1.6525"
"0.060000","0.00000","-1.1752"
"0.080000","0.00000","-0.98272"
"0.10000","0.000084556","-1.1819"
"0.12000","0.0010884","3.9721"
"0.14000","0.0049738","16.778"
"0.16000","0.010530","26.177"
"0.18000","0.014687","36.530"
"0.20000","0.022933","61.284"
"0.22000","0.038015","98.173"
"0.24000","0.055172","131.06"
"0.26000","0.070378","154.35"
"0.28000","0.083631","173.13"
"0.30000","0.095848","189.33"
"0.32000","0.10784","205.97"
"0.34000","0.12008","222.20"
"0.36000","0.13231","239.02"
"0.38000","0.14469","254.71"
"0.40000","0.15669","269.85"
"0.42000","0.16847","283.72"
"0.44000","0.18042","297.93"
"0.46000","0.19232","312.75"
"0.48000","0.20421","325.44"
"0.50000","0.21612","339.46"
"0.52000","0.22797","352.03"
"0.54000","0.23982","364.93"
"0.56000","0.25194","378.49"
"0.58000","0.26376","389.28"
"0.60000","0.27546","401.89"
"0.62000","0.28721","413.02"
"0.64000","0.29888","423.80"
"0.66000","0.31082","435.92"
"0.68000","0.32253","445.99"
"0.70000","0.33403","456.17"
"0.72000","0.34583","467.39"
"0.74000","0.35793","478.08"
"0.76000","0.37003","489.22"
"0.78000","0.38204","498.97"
"0.80000","0.39387","508.24"
"0.82000","0.40581","518.98"
"0.84000","0.41793","527.97"
"0.86000","0.42965","537.26"
"0.88000","0.44152","546.82"
"0.90000","0.45346","555.74"
"0.92000","0.46534","565.50"
"0.94000","0.47742","574.29"
"0.96000","0.48925","582.78"
"0.98000","0.50083","591.20"
"1.0000","0.51265","600.36"
"1.0200","0.52470","609.86"
"1.0400","0.53660","618.20"
"1.0600","0.54861","627.04"
"1.0800","0.56050","635.12"
"1.1000","0.57232","643.74"
"1.1200","0.58418","651.60"
"1.1400","0.59559","658.76"
"1.1600","0.60730","667.67"
"1.1800","0.61925","675.88"
"1.2000","0.63114","684.11"
"1.2200","0.64310","692.04"
"1.2400","0.65484","699.69"
"1.2600","0.66653","707.67"
"1.2800","0.67850","716.09"
"1.3000","0.69048","724.55"
"1.3200","0.70228","732.02"
"1.3400","0.71426","739.92"
"1.3600","0.72613","748.11"
"1.3800","0.73821","756.28"
"1.4000","0.75046","764.42"
"1.4200","0.76217","771.71"
"1.4400","0.77383","778.24"
"1.4600","0.78566","786.54"
"1.4800","0.79762","794.24"
"1.5000","0.80965","801.92"
"1.5200","0.82158","809.79"
"1.5400","0.83338","816.92"
"1.5600","0.84542","824.97"
"1.5800","0.85736","831.91"
"1.6000","0.86884","838.56"
"1.6200","0.88049","845.74"
"1.6400","0.89207","852.67"
